MMSI,Timestamp,Latitude,Longitude,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass,Latitude_next,Longitude_next
354410000,2021-11-14 00:00:16,34.41871,-124.3843,11.7,270.8,280,SAGITTARIUS LEADER,IMO9283887,3EAB7,70.0,0.0,199.0,32.0,10.0,70,A,34.42143079057552,-124.62050168090008
354415000,2021-11-14 00:00:03,30.15129,-130.29895,21.0,267.4,266,MSC FABIENNE,IMO9279965,H3SF,70.0,0.0,294.0,32.0,13.6,70,A,30.135423652608427,-130.70302452264164
354544000,2021-11-14 00:00:13,46.51665,-125.35104,10.0,181.9,178,SHUN RU,IMO8307571,3FVS6,70.0,0.0,182.0,30.0,11.0,70,A,46.35018720751658,-125.35906468891964
354658000,2021-11-14 00:00:02,34.45225,-123.01565,10.8,267.8,274,NEW QUZHOU,IMO9579884,3FEU5,70.0,0.0,291.0,45.0,18.3,70,A,34.445344850408965,-123.23363032162766
354839000,2021-11-14 00:00:03,33.57021,-118.5846,0.4,132.9,331,HAMMERSMITH BRIDGE,IMO9395147,3FQE8,70.0,0.0,336.0,45.0,14.0,71,A,33.56567491881472,-118.57874273076959
366227210,2021-11-14 00:00:01,43.36334,-124.31773,6.8,206.2,200,MAVERICK,IMO7026998,WDK7492,52.0,0.0,36.0,11.0,6.5,90,A,43.26171923954525,-124.38650942262902
366336000,2021-11-14 00:00:04,40.2998,-73.92405,3.6,182.2,197,FUGRO ENTERPRISE,IMO9473585,WDD9388,90.0,0.0,51.0,12.0,3.1,99,A,40.23988462510534,-73.92706796944621
366341000,2021-11-14 00:00:22,28.84528,-116.93246,11.3,328.7,330,PRIDE,IMO9369423,WDE9046,31.0,0.0,41.0,12.0,5.8,57,A,29.00609464463435,-117.04408686327507
366384000,2021-11-14 00:00:02,38.95868,-74.87669,0.0,260.3,511,ALLIANCE,,WDF7948,30.0,0.0,34.0,10.0,4.0,30,A,38.95868,-74.87669
366637150,2021-11-14 00:00:05,47.5562,-122.34163,0.0,319.7,282,HARRY M,,WYR2936,31.0,15.0,28.0,9.0,,32,A,47.5562,-122.34163
366638000,2021-11-14 00:00:01,29.94925,-93.86391,0.0,252.2,511,SURF CHALLENGER,IMO9400693,WDF5385,90.0,0.0,89.0,17.0,5.0,70,A,29.94925,-93.86391
366811310,2021-11-14 00:00:01,47.59032,-122.34867,0.0,134.2,229,JAMES T QUIGG,IMO7129477,WDA4612,31.0,0.0,32.0,9.0,,31,A,47.59032,-122.34867
366811310,2021-11-14 00:01:10,47.59029,-122.34869,0.0,134.2,229,JAMES T QUIGG,IMO7129477,WDA4612,31.0,0.0,32.0,9.0,,31,A,47.59029,-122.34869
366816890,2021-11-14 00:00:00,29.54574,-90.70143,0.0,131.3,511,BUNNY BORDELON,IMO9260756,WDA5139,90.0,0.0,44.0,10.0,3.0,90,A,29.54574,-90.70143
366825190,2021-11-14 00:00:08,48.14068,-123.42551,0.0,239.5,294,PUGET SOUND,,WCZ5670,50.0,9.0,22.0,6.0,,50,A,48.14068,-123.42551
366826570,2021-11-14 00:00:01,29.08457,-95.0695,2.1,169.7,511,MARY BEA,IMO9242053,WDA5998,30.0,0.0,25.0,7.0,,0,B,29.050157227718014,-95.06234376015553
366833610,2021-11-14 00:00:08,47.9597,-125.34071,8.0,240.9,233,PHYLLIS DUNLAP,IMO8968246,WDA6552,31.0,0.0,37.0,11.0,4.7,32,A,47.89489897702359,-125.51456785551676
366836590,2021-11-14 00:00:02,40.89605,-73.92303,6.9,16.1,511,ELLEN MCALLISTER,IMO8980892,WDG3673,31.0,0.0,33.0,9.0,4.3,52,A,41.00646515135304,-73.88086866300156
366843280,2021-11-14 00:00:09,28.95411,-95.35496,0.0,283.2,511,FLING,,WDA7435,60.0,0.0,29.0,6.0,,60,A,28.95411,-95.35496
366844270,2021-11-14 00:00:04,34.35021,-120.4619,8.8,283.7,287,MILLENNIUM DAWN,IMO9258791,WDA7527,31.0,0.0,32.0,10.0,3.8,57,A,34.384922855035704,-120.63437715547076
366855710,2021-11-14 00:00:19,39.21162,-76.48149,0.1,37.1,511,GRAMMA LEE T MORAN,IMO9276470,WDA8564,31.0,5.0,28.0,9.0,4.3,52,A,39.212948410819415,-76.48019334526835
366862670,2021-11-14 00:00:03,38.04529,-122.12386,0.0,0.0,511,RIVERCAT,IMO8654340,WDA9209,31.0,0.0,17.0,7.0,1.8,52,A,38.04529,-122.12386
366863870,2021-11-14 00:00:00,41.08753,-72.3582,0.0,267.7,511,MASHOMACK,,WDA9320,60.0,0.0,38.0,13.0,,69,A,41.08753,-72.3582
366866000,2021-11-14 00:00:07,36.61672,-75.83686,6.9,157.3,511,ROSEWAY,,WDB8858,60.0,0.0,34.0,7.0,,69,A,36.51069960776369,-75.78160596322991
366871480,2021-11-14 00:00:06,35.1152,-90.08925,0.0,248.9,74,MARGUERITE L TERRAL,IMO8976530,WDB2020,31.0,12.0,30.0,9.0,,31,A,35.1152,-90.08925
366880670,2021-11-14 00:00:16,32.62232,-117.10077,0.0,0.0,511,WALELA,,WDB2860,37.0,0.0,14.0,4.0,,0,B,32.62232,-117.10077
366888800,2021-11-14 00:00:02,32.69606,-117.15199,0.0,151.8,73,TIOGA,,WDE7327,52.0,0.0,30.0,12.0,4.2,52,A,32.69606,-117.15199
366896390,2021-11-14 00:00:06,40.63916,-74.15143,0.0,244.9,511,G L 55,,WDB4250,90.0,3.0,48.0,18.0,,33,A,40.63916,-74.15143
366898190,2021-11-14 00:00:02,41.27455,-72.09664,14.8,35.0,30,MARY ELLEN,IMO8305652,WDB4416,60.0,0.0,85.0,14.0,2.7,60,A,41.47647135154614,-71.90851480056496
366904000,2021-11-14 00:00:23,48.51871,-122.58596,0.1,172.5,87,VISION,IMO9542609,WDF6306,31.0,1.0,41.0,12.0,5.8,32,A,48.51705870534234,-122.58563179177757
366909510,2021-11-14 00:00:07,34.22663,-77.9536,0.0,268.9,511,MARGARET MCALLISTER,IMO8990469,WDB5426,31.0,0.0,32.0,9.0,4.3,52,A,34.22663,-77.9536
366909530,2021-11-14 00:00:07,43.65767,-70.24793,0.1,299.8,511,RODERICK MCALLISTER,IMO6807216,WDB5428,31.0,0.0,32.0,8.0,3.8,52,A,43.658497731807195,-70.24992771446537
366916960,2021-11-14 00:00:00,36.99697,-89.19668,4.9,356.9,358,BILL STEGBAUER,,WCW2551,31.0,0.0,39.0,12.0,,31,A,37.078462212363625,-89.20220603100987
366929710,2021-11-14 00:00:00,48.42175,-123.37207,0.2,186.8,128,COHO,IMO5076949,WM4599,60.0,0.0,104.0,22.0,3.8,60,A,48.41844234527778,-123.37266431707451
366933130,2021-11-14 00:00:06,36.85221,-76.29747,0.0,0.0,511,WILLIAM BARRON,,WSS6709,37.0,0.0,13.0,4.0,,0,B,36.85221,-76.29747
366934480,2021-11-14 00:00:01,30.38947,-88.85929,0.9,26.6,511,JOKA'S WILD,,WDB6996,60.0,0.0,20.0,6.0,,0,B,30.402873275913187,-88.85150909480413
366934770,2021-11-14 00:00:10,42.04636,-124.26576,0.1,17.6,511,NOAH'S ARK,IMO8938954,WDH9179,30.0,7.0,22.0,6.0,,30,A,42.047947580629824,-124.26508183127673
366935390,2021-11-14 00:00:08,41.66321,-87.44735,0.0,228.8,511,MARY BURKE LILES,IMO8971085,WCY8041,31.0,12.0,27.0,9.0,,57,A,41.66321,-87.44735
366936680,2021-11-14 00:00:06,38.84209,-90.10577,0.0,236.2,357,DENNIS ROSS,,WDB7118,31.0,12.0,31.0,9.0,,57,A,38.84209,-90.10577
366936930,2021-11-14 00:00:00,32.38369,-90.87952,0.0,234.7,511,ANA LOUISE,,WDB7130,31.0,12.0,40.0,10.0,,57,A,32.38369,-90.87952
366938710,2021-11-14 00:00:04,47.88893,-89.55498,12.3,237.9,236,AMERICAN MARINER,IMO7812567,WQZ7791,70.0,0.0,222.0,23.0,9.2,70,A,47.78006669618503,-89.81377920981214
366938760,2021-11-14 00:00:09,41.59468,-81.90832,10.5,301.1,296,SAM LAUD,IMO7390210,WZC7602,70.0,0.0,193.0,20.0,8.3,70,A,41.685012422676515,-82.108552425383
366939710,2021-11-14 00:00:04,40.64144,-74.12959,0.1,118.2,280,MIRIAM MORAN,IMO7908146,WQZ6572,31.0,0.0,30.0,9.0,3.9,52,A,40.64065294609121,-74.127655566011
366943960,2021-11-14 00:00:08,33.355,-118.32717,0.2,252.3,511,CATALINA EXPRESS,IMO8967888,WCJ6210,60.0,0.0,30.0,6.0,,40,A,33.35398723935376,-118.33096920346993
366947620,2021-11-14 00:00:01,48.12469,-123.45028,0.0,172.1,511,LU-LU BELLE,,WYE6753,60.0,0.0,22.0,5.0,,60,A,48.12469,-123.45028
366953940,2021-11-14 00:00:02,44.11217,-69.10162,0.1,240.6,511,STARLIGHT,IMO7731256,WDB8157,30.0,0.0,23.0,7.0,,30,A,44.111352378388,-69.10364101409748
366961530,2021-11-14 00:00:02,42.17389,-90.26235,4.9,281.5,282,JOE B WYATT,,WDB8613,31.0,0.0,48.0,13.0,,57,A,42.19016074351182,-90.37026001580104
366963250,2021-11-14 00:00:15,36.75439,-89.11772,0.0,151.0,25,ALVIN C JOHNSON,,WDB8721,31.0,12.0,41.0,10.0,,52,A,36.75439,-89.11772
366963340,2021-11-14 00:00:00,36.82081,-89.14729,0.7,346.4,0,DICK TOMAYKO,,WDB8729,31.0,0.0,18.0,7.0,,52,A,36.832141904064095,-89.15071464587398
366963380,2021-11-14 00:00:06,33.9917,-88.51137,0.1,62.7,115,FRANCIS R KEEGAN,,WDB8733,31.0,0.0,38.0,11.0,,57,A,33.99246390083661,-88.50958493473779
366967470,2021-11-14 00:00:04,36.78447,-89.12632,0.0,153.7,511,WILLARD HAMMOND,,WDB8984,31.0,0.0,22.0,8.0,,31,A,36.78447,-89.12632
366968000,2021-11-14 00:00:01,29.70768,-84.59079,10.1,266.8,264,CG BARBARA MABRITY,IMO9177272,NERA,90.0,0.0,53.0,10.0,2.4,55,A,29.6982897117314,-84.78416365909654
366970360,2021-11-14 00:00:38,41.78794,-90.24033,4.1,201.7,511,LOUISIANA LEGEND,,WDB9136,31.0,0.0,19.0,7.0,,31,A,41.72449205632965,-90.27419326729395
366970430,2021-11-14 00:00:10,46.18995,-123.85416,0.0,219.5,511,TRIUMPH II,,WY6769,60.0,0.0,18.0,9.0,,0,B,46.18995,-123.85416
366970770,2021-11-14 00:00:01,30.05472,-90.84787,0.0,16.4,511,LOUISIANA LADY,,WDB9160,31.0,15.0,28.0,9.0,,31,A,30.05472,-90.84787
366973830,2021-11-14 00:00:08,35.29165,-75.43867,2.4,211.5,511,TAMARA ALANE,IMO8939063,WDH9252,30.0,0.0,23.0,7.0,,0,B,35.25756737485798,-75.4642584609604
366976870,2021-11-14 00:00:02,47.27022,-122.4193,0.0,306.6,37,HENRY FOSS,IMO8127555,WRB5165,31.0,0.0,30.0,10.0,4.9,31,A,47.27022,-122.4193
366978720,2021-11-14 00:00:04,33.76034,-118.26767,0.5,226.0,56,MILLENNIUM FALCON,IMO9219575,WCZ8082,31.0,5.0,32.0,11.0,4.9,31,A,33.75455508093529,-118.27487553283635
366979560,2021-11-14 00:00:03,47.66143,-122.38468,0.0,266.3,511,DUCK SOUP,,WCO8216,37.0,0.0,20.0,5.0,,0,B,47.66143,-122.38468
366980230,2021-11-14 00:00:00,47.26795,-122.39947,0.1,300.7,137,LELA JOY,IMO7316460,WBP2597,31.0,0.0,25.0,7.0,3.3,32,A,47.268800331496685,-122.40158049717735
366982320,2021-11-14 00:00:03,47.62292,-122.37013,0.0,144.3,45,MARSHALL FOSS,IMO8971877,WDB9762,31.0,0.0,28.0,12.0,3.8,52,A,47.62292,-122.37013
366983440,2021-11-14 00:00:02,45.96765,-85.87186,0.0,325.0,349,JOYCE L VANENKEVORT,IMO8973033,WDB9821,31.0,0.0,41.0,15.0,,57,A,45.96765,-85.87186
366984180,2021-11-14 00:00:01,40.06288,-91.49047,5.1,164.0,172,AMERICAN BEAUTY,,WDB9866,31.0,12.0,48.0,13.0,,57,A,39.98122781276039,-91.4598778025453
366984310,2021-11-14 00:00:06,35.09021,-90.17557,0.0,246.0,181,CRIMSON DUKE,,WDB9874,31.0,12.0,59.0,16.0,,57,A,35.09021,-90.17557
366986260,2021-11-14 00:00:05,35.11486,-75.98665,2.1,8.6,511,CEDAR ISLAND,IMO9102021,WCP5499,60.0,0.0,63.0,11.0,,60,A,35.1494431544047,-75.9802561041685
366988190,2021-11-14 00:00:07,40.7738,-91.09506,4.6,194.0,193,PRAIRIE DAWN,IMO8332447,WDC2117,31.0,12.0,46.0,12.0,,57,A,40.69946078686563,-91.11953510896348
366988420,2021-11-14 00:00:03,38.09479,-74.88145,8.6,29.2,26,C ANGELO,IMO8964460,WCZ5866,31.0,11.0,30.0,9.0,3.6,52,A,38.21982452206533,-74.792656835693
366990450,2021-11-14 00:00:05,47.27497,-122.81855,5.5,212.3,511,CHARLIE WELLS,,WAH4742,60.0,0.0,19.0,10.0,,99,A,47.197539875326065,-122.89069545083633
366991260,2021-11-14 00:00:00,29.25172,-91.49022,2.8,219.9,511,CAPT JOHN E GRAHAM,IMO8988428,WDC2329,90.0,3.0,41.0,10.0,,33,A,29.215943083450828,-91.52450628686583
366993230,2021-11-14 00:00:01,39.69305,-80.86275,0.1,276.5,511,LADY G II,,WYT8455,31.0,15.0,18.0,8.0,,57,A,39.693238544889795,-80.8649005999403
366993970,2021-11-14 00:00:09,41.19063,-73.94394,0.2,76.0,511,BUCHANAN #12,,WDC2499,31.0,12.0,26.0,9.0,,52,A,41.191435862936686,-73.93964492684314
366995660,2021-11-14 00:00:04,38.93986,-90.3438,7.9,130.8,130,DIXIE CHALLENGE,,WDC2619,31.0,12.0,30.0,10.0,,57,A,38.85388425936736,-90.215742563841
366996190,2021-11-14 00:00:03,35.70762,-76.01293,6.1,174.1,174,CREOLE TUT,,WDC2667,31.0,0.0,17.0,6.0,,52,A,35.60656002357268,-76.00006860023632
366996510,2021-11-14 00:00:01,29.77402,-95.10144,0.0,287.0,511,JANE L,,WDD4045,0.0,0.0,0.0,0.0,0.0,0,A,29.77402,-95.10144
366997750,2021-11-14 00:00:10,28.69352,-95.94998,0.0,128.0,249,FATHER SEELOS,IMO8991011,WDC2789,31.0,12.0,22.0,10.0,2.3,57,A,28.69352,-95.94998
366998050,2021-11-14 00:00:01,30.02246,-93.9831,0.0,3.2,511,SAINTE MARIE,IMO8983143,WDC2815,31.0,12.0,22.0,10.0,,57,A,30.02246,-93.9831
366999333,2021-11-14 00:00:07,42.20754,-90.35623,3.3,305.1,511,GENERAL WARREN,,AEAJ,90.0,0.0,27.0,9.0,,31,A,42.239143978746455,-90.41693869472172
366999979,2021-11-14 00:00:12,45.63052,-86.51332,9.0,233.7,234,CG MOBILE BAY,,NRUR,90.0,12.0,42.0,11.0,,55,A,45.54177786074963,-86.68607958676644
367000140,2021-11-14 00:00:06,40.69985,-74.01327,0.0,249.0,173,SAMUEL I NEWHOUSE,IMO7702774,WYR3371,60.0,0.0,94.0,21.0,,60,A,40.69985,-74.01327
367000150,2021-11-14 00:00:03,40.64487,-74.07142,0.0,27.0,57,ANDREW J BARBERI,IMO7702762,WYR3370,60.0,0.0,94.0,21.0,4.1,69,A,40.64487,-74.07142
367001740,2021-11-14 00:00:04,33.34583,-118.32046,2.9,212.2,220,CATALINA FLYER,,WTD8887,60.0,0.0,34.0,11.0,,60,A,33.30495822289846,-118.35127077268399
367001830,2021-11-14 00:00:00,38.0941,-121.64989,2.5,302.2,120,TERRI L BRUSCO,IMO7618155,WDC3034,31.0,0.0,21.0,7.0,,32,A,38.11628821696869,-121.69466046406836
367003780,2021-11-14 00:00:01,29.78691,-95.08266,1.2,192.4,230,PHILIP,,WDF2430,31.0,12.0,21.0,8.0,,57,A,29.767389716684303,-95.0876051741283
367004280,2021-11-14 00:00:01,30.17024,-91.00991,5.0,319.7,511,CSS RICHMOND,,WDC3231,31.0,0.0,16.0,6.0,,57,A,30.233752868312394,-91.0722125899518
367005070,2021-11-14 00:00:13,47.65826,-122.37793,0.0,0.0,511,CHIEF SEATTLE,IMO8992962,WDC3277,90.0,5.0,27.0,7.0,,51,A,47.65826,-122.37793
367005270,2021-11-14 00:00:01,29.93913,-92.67975,4.9,111.6,113,C J BOYNE,IMO8975859,WDC3285,31.0,5.0,21.0,9.0,,0,A,29.90908675260094,-92.5921843125317
367005760,2021-11-14 00:00:01,29.93435,-93.13235,5.2,269.4,272,MELVIN L KING,,WUT9921,31.0,0.0,23.0,9.0,,32,A,29.933443056915486,-93.23228508545353
367006770,2021-11-14 00:00:02,33.54324,-118.04454,5.9,140.4,140,ROBYN J,,WTQ4065,90.0,0.0,32.0,7.0,,32,A,33.467523918743204,-117.96938689145267
367008160,2021-11-14 00:00:02,29.67535,-91.22657,0.0,124.2,511,BASIN ENDEAVOR,,WCW3556,31.0,15.0,17.0,7.0,,31,A,29.67535,-91.22657
367011820,2021-11-14 00:00:00,42.43875,-90.56126,0.0,195.5,318,JINX P SMITH,,WDF5817,31.0,0.0,32.0,10.0,,31,A,42.43875,-90.56126
367012670,2021-11-14 00:00:02,39.717,-75.51705,0.0,275.6,511,TINA,IMO8973007,WDC3702,31.0,0.0,19.0,7.0,,52,A,39.717,-75.51705
367014480,2021-11-14 00:00:07,33.76721,-118.22042,0.1,162.5,511,DURANGO,,WDC3807,31.0,0.0,18.0,7.0,,52,A,33.76562154282296,-118.21981752556367
367015830,2021-11-14 00:00:00,38.27813,-85.79483,0.0,108.7,511,ARLENE,IMO8991061,WDF2437,31.0,12.0,37.0,10.0,,31,A,38.27813,-85.79483
367016050,2021-11-14 00:00:10,33.72558,-118.21725,0.5,145.4,511,MAKO,,WDC3906,95.0,0.0,14.0,5.0,0.0,95,A,33.71872515238902,-118.21156428802566
367016520,2021-11-14 00:00:45,33.22061,-87.55199,4.8,68.6,63,MISS MORGAN,,WDC3931,31.0,5.0,15.0,6.0,,31,A,33.24978047350925,-87.46301416288857
367028910,2021-11-14 00:00:01,29.31702,-94.86348,5.8,50.7,49,NELDA FAYE,IMO8993837,WCX5150,31.0,0.0,19.0,7.0,,31,A,29.378205561128738,-94.77774528010733
367029470,2021-11-14 00:00:05,42.36277,-71.03154,0.0,291.2,197,CHELSEA,,WDC4722,50.0,0.0,16.0,5.0,,50,A,42.36277,-71.03154
367033430,2021-11-14 00:00:11,48.75423,-122.50489,0.0,289.1,511,ALRITA,,WAH9458,30.0,5.0,20.0,6.0,2.4,30,A,48.75423,-122.50489
367035950,2021-11-14 00:00:04,48.42655,-123.30205,0.0,125.6,511,PIZZAZ PLUS,,WDC5110,37.0,0.0,9.0,9.0,,0,B,48.42655,-123.30205
367046140,2021-11-14 00:00:03,32.63744,-117.24268,8.2,94.9,511,JIG STRIKE,,WDC5769,60.0,0.0,15.0,5.0,,60,A,32.62577421990843,-117.0810894390058
367047150,2021-11-14 00:00:03,45.63728,-121.94708,0.0,28.8,253,CAPTAIN BOB,,WDC5835,31.0,0.0,30.0,10.0,,57,A,45.63728,-121.94708
367047240,2021-11-14 00:00:07,45.64542,-122.7414,2.4,312.6,511,DEFIANCE,,WDC5842,31.0,0.0,26.0,9.0,,57,A,45.672476794773225,-122.78348865765744
367057670,2021-11-14 00:00:09,36.20251,-89.66322,0.0,233.0,124,ELIZABETH DEWEY,,WDC6540,31.0,12.0,48.0,13.0,,31,A,36.20251,-89.66322
367061980,2021-11-14 00:00:04,40.64077,-74.12976,0.0,233.6,208,KIMBERLY TURECAMO,IMO7914573,WDC6838,31.0,0.0,30.0,9.0,,52,A,40.64077,-74.12976
367065250,2021-11-14 00:00:06,46.48492,-84.29755,0.0,223.9,511,DRUMMOND ISLANDE III,,WDC7041,60.0,0.0,30.0,11.0,,60,A,46.48492,-84.29755
367078250,2021-11-14 00:00:01,42.38023,-71.04186,0.0,254.2,359,JASON REINAUER,IMO7437056,WDC7869,31.0,0.0,28.0,8.0,4.1,52,A,42.38023,-71.04186
367079510,2021-11-14 00:00:02,27.8205,-97.47508,0.0,218.4,287,JOE RAY BEAUBOUEF,,WDC7955,31.0,12.0,22.0,9.0,,57,A,27.8205,-97.47508
367080570,2021-11-14 00:00:03,41.41203,-91.05657,0.0,131.8,511,LAUREN,,WDC8027,31.0,0.0,20.0,7.0,2.5,31,A,41.41203,-91.05657
367080670,2021-11-14 00:00:00,24.55047,-81.8092,0.0,360.0,511,HERCULES,,WDI7674,31.0,0.0,18.0,5.0,,52,A,24.55047,-81.8092
367082220,2021-11-14 00:00:08,45.84763,-85.04881,11.8,280.6,282,STR WILFRED SYKES,IMO5389554,WC5932,70.0,0.0,202.0,21.0,7.8,70,A,45.883782721684874,-85.32614130425712
367084930,2021-11-14 00:00:04,44.4199,-83.20647,10.8,9.0,8,SAMUEL DE CHAMPLAIN,IMO7433799,WDC8307,31.0,0.0,45.0,11.0,3.8,70,A,44.59756410491368,-83.1670719847459
367087240,2021-11-14 00:01:10,40.99073,-73.10112,14.7,342.4,336,PARK CITY,IMO8700709,WTX9790,60.0,0.0,87.0,14.0,,60,A,41.224104352583666,-73.19919785378572
367089220,2021-11-14 00:00:11,47.66078,-122.37675,0.1,49.5,511,MIDNIGHT SUN,,WDC8554,60.0,0.0,19.0,5.0,,0,B,47.661861684049626,-122.37486959281841
367093970,2021-11-14 00:00:06,39.20893,-76.58308,0.0,247.9,511,CAPT STEVE,,WYB7050,31.0,15.0,17.0,6.0,,52,A,39.20893,-76.58308
367100870,2021-11-14 00:00:07,33.93085,-77.99654,0.1,237.9,210,RANGER,,WDC9335,60.0,0.0,23.0,8.0,,60,A,33.929964932489305,-77.99824049216082
367102610,2021-11-14 00:00:01,32.44671,-88.00526,5.6,228.4,234,ALICE PARKER,IMO8850944,WCY2903,31.0,12.0,32.0,10.0,,57,A,32.38478530842959,-88.08790986111721
367102610,2021-11-14 00:01:02,32.44575,-88.00674,5.6,235.6,238,ALICE PARKER,IMO8850944,WCY2903,31.0,12.0,32.0,10.0,,57,A,32.39305527765308,-88.09793412108965
367103180,2021-11-14 00:00:01,33.51323,-88.48893,2.9,359.6,1,JACKSON PLATTE,,WDC9506,31.0,0.0,35.0,10.0,,31,A,33.56152958775512,-88.48933443398286
